ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color
,,,,,,,,,,
1,Wonder,Retrospective Mirror,7P,Artifact,-,9,-,"Play: Choose a card in play. Remove all counters from it and discard all cards stockpiled under it.
Action: 1P. If a card you recycled to trigger this action has the same name as a card in play, draw 3 cards.",,Purple
2,Wonder,Funeral Pyre,6P,Location,-,3,-,"Play: Search your library for a card and place it in your hand. Shuffle your library. 
End of Phase: You may stockpile a card from your hand or the top of your library. 
Action: You may summon a card in this stockpile at its cost +2, reduced by 1 for each other card in this stockpile. Shuffle the remaining cards back into your library.",,Purple
3,Wonder,The Night's Gale,5P,Artifact,-,7,-,"Action: Give a friendly creature subtle until the end of this phase. If that creature already has subtle, give it +1 | +1 | + 0.",,Purple
4,Wonder,Igvyr's Passageway,6P,Location,-,12,-,"Play: You may Provoke two enemy creatures.
Action: Choose 1 friendly and 1 enemy creature not in their owners' barracks. Return them to their owners' Barracks.",,Purple
5,Wonder,Ritual of Banishment,4P,Ritual,-,8,-,Play: Stockpile 3 creatures under Ritual of Banishment.,,Purple
6,Wonder,War Drum,4P,Artifact,-,7,-,Action: Move up to three friendly creatures.,,Purple
7,Wonder,Ancestral Grove,5P,Location,-,3,-,"Action: 1P. Give a friendly creature ""Deploy: Give each Apparition in this zone +1 Strength.""  until end of phase.",,Purple
8,Wonder,Malevolent Scroll,6P,Artifact,-,3,-,"Action: 2P. Give a deployed creature ""Trap: Destroy the trapped creature."" until end of phase.",,Purple
9,Wonder,Lineate Palanquin,6P,Artifact,-,5,-,"Action: 1P. Ready a creature then deploy or move it. Until end of phase, it gains Sentry, cannot be dealt damage, and cannot capture battlefields.",,Purple
10,Wonder,Cult of Control,7P,Ritual,-,3,-,"Summoner creatures get +2 Health while Cult of Control is in play.
Action: 1A. Trigger the ""Bloodied/Deploy/Action/Destroyed"" effect of a Summoner creature. ",,Purple
11,Wonder,Pandor's Case,5P,Artifact,-,9,-,"Action: Deploy an enemy creature to this Wonder.
Destroyed: Destroy each creature.",,Purple
12,Wonder,Empowered Vessel,6P,Artifact,-,3,-,"When a friendly Apparition is destroyed, you may sacrifice this Wonder. If you do, resummon that Apparition at no cost and give it +3 | +1 | +0",,Purple
13,Creature,Traveling Charlatan,2P,Human | Summoner,2,2,2,,,Purple
14,Creature,"Vidant, Otherseer",4P,Summoner,1,4,1,Bloodied: Reveal cards from the top of your library until you find a creature with the trait Apparition or Beast. Place it in your hand and shuffle your library.,,Purple
