ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Notes,Color,,,,,,,,
,,,,,,,,,,,,,,Overall,,,,
1,Artifact,Retrospective Mirror,7P,Item | Wonder,-,9,-,"Play: Remove all counters from a card in play. Discard all stockpiled cards under the same card.
Action: 1P. If a card you expended to cast this matches a card in play, draw 3 cards.",,Purple,Artifact,12,,Artifact,58,,Item | Wonder,8
2,Artifact,Funeral Pyre,5P,Location,-,3,-,"Play: Search for a card in your library, and stockpile it under this card. Shuffle your library. 
End of Phase: You may stockpile a card from your hand or top of your library under the other cards in this stack. 
Action: You may cast the top card in this stockpile at +2 its cost, reduced by each card in this stockpile (excluding itself). Shuffle each card in this stockpile back into your library",,Purple,Creature,25,,Creature,144,,Location,29
3,Artifact,The Night's Gale,5P,Item,-,7,-,"Action: Choose a summoned creature. Give that creature subtle until the end of this phase. If that creature already has subtle, give it +1 | +1 | + 0",,Purple,Instant,14,,Instant,86,,Item,8
4,Artifact,Igvyr's Passageway,6P,Location,-,12,-,"Play: You may Provoke two enemy creatures.
Action: Choose 1 allied deployed creature and 1 enemy deployed creature. Return them to the Barracks.",,Purple,Total:,51,,Battlefield,31,,Ritual,3
5,Artifact,Ritual of Banishment,4P,Ritual,-,8,-,Play: Stockpile 3 creatures under Ritual of Banishment.,,Purple,,,,,,,Location | Ancient,
6,Artifact,War Drum,4P,Item,-,7,-,Action: Redeploy up to three allied creatures.,,Purple,,,,"TOTAL
",319,,Summoner,6
7,Artifact,Ancestral Grove,5P,Location | Ancient,-,3,-,"Action: 1P. Give a friendly creature ""Deploy: Give each Apparition in this zone +1 | +0 | +0.""  until end of phase",,Purple,,,,,,,Apparition,6
8,Artifact,Malevolent Scroll,6P,Item | Wonder,-,3,-,"Action: 2P. Give a deployed creature ""Trap: Destroy the trapped creature."" until end of phase.",,Purple,,,,,,,Apparition | Horror,2
9,Artifact,Lineate Palaquin,6P,Location,-,5,-,"Action: 1P. Deploy or redeploy a creature. This creature cannot be dealt damage until the end of the phase, but cannot capture battlefields. 
Witness: Draw a card.",,Purple,,,,,,,Apparition | Leader,1
10,Artifact,Cult of Control,7P,Ritual,-,3,-,"Summoner creatures have +0|+2|+0 while Cult of Control is in play.
Action: 1A. Perfom the ""Bloodied/Deploy/Action/Destroyed"" effect of a Summoner in play. ",,Purple,,,,,,,Human,5
11,Artifact,Pandor's Case,5P,Item,-,9,-,"Destroyed: Destroy each creature.
Action: Deploy an enemy creature to this artifact.",,Purple,,,,,,,Demon | Hunter,1
12,Artifact,Empowered Vessel,6P,Item,-,3,-,"When a friendly Apparition is destroyed, you may sacrifice this artifact. If you do, resummon Apparition at no cost and give it +3 | +1 | +0",(This card would auto-generate--it attaches to a random apparition in the pack and gains its name in the place of the [Apparition] tag),Purple,,,,,,,Human | Location,1
13,Creature,Traveling Charlatan,2P,Summoner,2,2,2,,,Purple,,,,,,,Summoner | Apparition,1
14,Creature,"Vidant, Otherseer",4P,Summoner,1,4,1,Bloodied: Reveal cards from the top of your library until you find a creature with trait Apparition or Beast. Place it in your hand.,Might be WAY too powerful,Purple,,,,,,,Demon,1
15,Creature,"Bitter Haunt
",1P,Apparition,1,1,0,Subtle (This creature may ignore the battleline when deploying),,Purple,,,,,,,Human | Summoner,3
16,Creature,Shade,1P,Apparition | Horror,3,1,0,End of Phase: Sacrifice this creature.,,Purple,,,,,,,Priest | Horror,1
17,Creature,Diviner of Bones,2P,Summoner,1,2,1,Idle: Draw a card.,,Purple,,,,,,,Horror | Summoner,1
18,Creature,Leader of the March,3P,Apparition | Leader,1,3,0,Idle: Redeploy another friendly creature,,Purple,,,,,,,-,110
19,Creature,Vengeful Witness,2P,Human,1,1,0,Witness: Draw 1 card.,,Purple,,,,,,,Location | Anomaly,1
20,Creature,Lingering Malice,2P,Apparition,3,1,0,"Witness: If Lingering Malice was in the Battleline and all creatures were destroyed, capture the current Battlefield.",,Purple,,,,,,"Commando benefits from being in enemy territory
Sentry does not reset to the barracks at end of phase",Location | Workshop,1
21,Creature,Hunter of the Claimant,4P,Demon | Hunter,4,2,1,Witness: Deal 2 damage to an enemy creature.,,Purple,,,,,,,Location | Ritual,2
22,Creature,Repentent Guide,4P,Apparition,2,2,0,"Witness: You may sacrifice Repentent Guide to begin the action phase again, keep the battlefield in play and ready each creature. ",,Purple,,,,,,,Construct | Anomaly,3
23,Creature,"Visant, Gravekeeper",3P,Human,2,2,2,Destroyed: Give a friendly Apparition +2 | +2 | +0.,,Purple,,,,,,,Construct,12
24,Creature,Necronomican,4P ,Summoner,4,2,0,"Destroyed: You may sacrifice a friendly creature. If you do, heal Necronomican 2 HP and place him back in your Barracks.",,Purple,,,,,,,Construct | Drone,2
25,Creature,Heart of the March,4P,Human,2,3,0,"Deploy: Give this creature +1 | +0 | +0. 
At the end of the phase, remove all counters on Heart of the March.","""Pick it up! Let's go! Pick it up!"" - Heart of the March",Purple,,,,,,,Human | Scholar,5
26,Creature,Pointman,4P,Human | Location,1,2,2,"Deploy: If Pointman is the first to a zone, Pointman readies.
Action: Deploy a creature to the zone Pointman is in and ready them.",,Purple,,,,,,,"Data | Anomaly
",1
27,Creature,Composite of Shadows,2P,Summoner | Apparition,1,1,1,"If there are 2 or more other apparitions in play, Composite of Shadows gains +3|+3|+0.",,Purple,,,,,,,Construct | Leader,2
28,Creature,"Yindír, Pit-builder",3P,Demon,1,1,1,Trap: Reduce trapped creatures power to 0.,,Purple,,,,,,,Data,3
