,ID,Type,Name,Cost,Traits,Strength,Health,Restore,Effect,Color
1,1.0,Artifact,Retrospective Mirror,7P,Item | Wonder,-,9,-,"Play: Remove all counters from a card in play. Discard all stockpiled cards under the same card.
Action: 1P. If a card you expended to cast this matches a card in play, draw 3 cards.",Purple
2,2.0,Artifact,Funeral Pyre,5P,Location,-,3,-,"Play: Search for a card in your library, and stockpile it under this card. Shuffle your library. 
End of Phase: You may stockpile a card from your hand or top of your library under the other cards in this stack. 
Action: You may cast the top card in this stockpile at +2 its cost, reduced by each card in this stockpile (excluding itself). Shuffle each card in this stockpile back into your library",Purple
3,3.0,Artifact,The Night's Gale,5P,Item,-,7,-,"Action: Choose a summoned creature. Give that creature subtle until the end of this phase. If that creature already has subtle, give it +1 | +1 | + 0",Purple
4,4.0,Artifact,Igvyr's Passageway,6P,Location,-,12,-,"Play: You may Provoke two enemy creatures.
Action: Choose 1 allied deployed creature and 1 enemy deployed creature. Return them to the Barracks.",Purple
5,5.0,Artifact,Ritual of Banishment,4P,Ritual,-,8,-,Play: Stockpile 3 creatures under Ritual of Banishment.,Purple
6,6.0,Artifact,War Drum,4P,Item,-,7,-,Action: Redeploy up to three allied creatures.,Purple
7,7.0,Artifact,Ancestral Grove,5P,Location | Ancient,-,3,-,"Action: 1P. Give a friendly creature ""Deploy: Give each Apparition in this zone +1 | +0 | +0.""  until end of phase",Purple
8,8.0,Artifact,Malevolent Scroll,6P,Item | Wonder,-,3,-,"Action: 2P. Give a deployed creature ""Trap: Destroy the trapped creature."" until end of phase.",Purple
9,9.0,Artifact,Lineate Palaquin,6P,Location,-,5,-,"Action: 1P. Deploy or redeploy a creature. This creature gains Sentry, cannot be dealt damage until the end of the phase, and cannot capture battlefields.",Purple
10,10.0,Artifact,Cult of Control,7P,Ritual,-,3,-,"Summoner creatures have +0|+2|+0 while Cult of Control is in play.
Action: 1A. Perfom the ""Bloodied/Deploy/Action/Destroyed"" effect of a Summoner in play. ",Purple
11,11.0,Artifact,Pandor's Case,5P,Item,-,9,-,"Destroyed: Destroy each creature.
Action: Deploy an enemy creature to this artifact.",Purple
12,12.0,Artifact,Empowered Vessel,6P,Item,-,3,-,"When a friendly Apparition is destroyed, you may sacrifice this artifact. If you do, resummon Apparition at no cost and give it +3 | +1 | +0",Purple
13,13.0,Creature,Traveling Charlatan,2P,Summoner,2,2,2,,Purple
14,14.0,Creature,"Vidant, Otherseer",4P,Summoner,1,4,1,Bloodied: Reveal cards from the top of your library until you find a creature with trait Apparition or Beast. Place it in your hand.,Purple
15,15.0,Creature,"Bitter Haunt
",1P,Apparition,1,1,0,Subtle (This creature may ignore the battleline when deploying),Purple
16,16.0,Creature,Shade,1P,Apparition | Horror,3,1,0,End of Phase: Sacrifice this creature.,Purple
17,17.0,Creature,Diviner of Bones,2P,Summoner,1,2,1,Idle: Draw a card.,Purple
18,18.0,Creature,Leader of the March,3P,Apparition | Leader,1,3,0,Idle: Redeploy another friendly creature,Purple
19,19.0,Creature,Lingering Malice,2P,Apparition,3,1,0,"Trap: Deal 1 damage to the trapped creature.
Sentry",Purple
20,20.0,Creature,Vengeful Huntress,4P,Demon | Hunter,3,4,1,Bloodied: Deal 2 damage to an enemy creature.,Purple
21,21.0,Creature,"Visant, Gravekeeper",3P,Human,2,2,2,Destroyed: Give a friendly Apparition +2 | +2 | +0.,Purple
22,22.0,Creature,Necronomican,4P ,Summoner,4,2,0,"Destroyed: You may sacrifice a friendly creature. If you do, heal Necronomican 2 HP and place him back in your Barracks.",Purple
23,23.0,Creature,Heart of the March,4P,Human,2,3,0,Deploy: Give this creature +1 | +0 | +0. .,Purple
